client_id,company_name,mrr,account_tier,signup_date,country
client_105,Morgan Inc,17.38,starter,2025-12-11,Brazil
client_106,"Moses, Perkins and Rowland",47.69,starter,2025-08-13,Mexico
client_107,Jackson-Taylor,46.6,starter,2026-01-03,Argentina
client_108,Jimenez-Bradley,63.43,starter,2025-04-22,Brazil
client_109,"Sanders, Garrett and Ellis",81.45,starter,2025-03-03,UK
client_110,Hendricks-Frazier,45.7,starter,2025-06-16,UK
client_111,Ellison Group,55.44,starter,2025-05-12,Brazil
client_112,"Holmes, Green and Rivera",74.08,starter,2025-06-26,Argentina
client_113,"Walker, Sanders and Bell",95.05,starter,2025-11-16,Brazil
client_114,Walsh and Sons,18.74,starter,2025-11-21,UK
client_115,Martinez Ltd,38.74,starter,2025-07-09,Canada
client_116,Bullock-Thornton,32.02,starter,2025-09-06,US
client_117,"Daniels, Hunt and Weeks",50.5,starter,2025-06-07,Brazil
client_118,Berger-Miller,40.54,starter,2025-03-07,Colombia
client_119,"Hess, Copeland and Wright",46.93,starter,2025-09-27,Canada
client_120,Jarvis Group,89.1,starter,2025-07-16,Colombia
client_121,"Brown, Smith and Padilla",45.33,starter,2025-06-25,Brazil
client_122,"Jackson, Howard and Fields",35.62,starter,2025-11-14,Canada
client_123,Grant-Bennett,81.55,starter,2026-01-02,Canada
client_124,Graham-Evans,66.23,starter,2025-11-06,US
client_125,"Bennett, Long and Maddox",59.86,starter,2025-09-24,US
client_126,White PLC,27.25,starter,2025-05-11,Mexico
client_127,Dunn-Clayton,65.74,starter,2025-05-29,Brazil
client_128,"Thomas, Christensen and Cummings",64.24,starter,2025-04-16,Mexico
client_129,Callahan-Chang,45.33,starter,2025-07-23,US
client_130,Mcmillan Inc,54.57,starter,2025-06-02,Mexico
client_131,Garza-Cunningham,92.99,starter,2025-08-21,Colombia
client_132,Harris-Krueger,40.57,starter,2025-02-26,Canada
client_133,Martinez-Armstrong,20.17,starter,2025-10-02,Colombia
client_134,Spencer Inc,87.67,starter,2025-06-29,Brazil
client_135,Davis-Brown,40.04,starter,2025-11-05,Mexico
client_136,Hicks LLC,36.04,starter,2025-10-20,Brazil
client_137,King-Jimenez,99.0,starter,2025-09-13,Canada
client_138,Barr Inc,37.66,starter,2025-09-10,Colombia
client_139,Orr and Sons,88.65,starter,2025-07-09,Colombia
client_140,Jennings-Bond,25.35,starter,2025-04-13,Canada
client_141,"Faulkner, Horton and Barrett",98.4,starter,2025-12-18,Mexico
client_142,"Hardy, Morales and Allen",36.21,starter,2025-04-01,Mexico
client_143,Hoffman Group,98.74,starter,2025-11-29,UK
client_144,"White, Walters and Stevens",12.58,starter,2025-03-26,Canada
client_145,Clark-Morris,86.43,starter,2025-03-08,Colombia
client_146,"Trujillo, Osborn and Trujillo",76.18,starter,2025-09-05,Mexico
client_147,"Stewart, Martinez and Butler",18.21,starter,2025-07-26,Mexico
client_148,Byrd-Williams,97.86,starter,2025-02-19,Canada
client_149,Adams PLC,98.38,starter,2025-03-19,Canada
client_150,Pugh LLC,83.81,starter,2025-09-19,Colombia
